"key","en"
"LANGUAGE_ENGLISH","English"
"LANGUAGE_PORTUGUESE_BRAZIL","Portuguese (Brazil)"
"UI_OPTIONS_TITLE","OPTIONS"
"UI_OPTIONS_DESCRIPTION","Settings are global and saved automatically."
"UI_OPTIONS_LANGUAGE","Language"
"UI_OPTIONS_MUSIC","Music"
"UI_OPTIONS_SFX","Sound effects"
"UI_OPTIONS_AUDIO_HINT","These controls affect ambience, interface, weapons, impacts and explosions."
"UI_BACK","BACK"
"UI_CONTINUE","CONTINUE"
"UI_CONFIRM","CONFIRM"
"UI_CANCEL","CANCEL"
"UI_MAIN_MENU","MAIN MENU"
"UI_PAUSE_TITLE","GAME PAUSED"
"UI_HANGAR_MENU_TITLE","HANGAR MENU"
"UI_PAUSE_SUBTITLE","The incursion is paused."
"UI_HANGAR_SAFE_SUBTITLE","Progress is safe in the Hangar."
"UI_OPTIONS","OPTIONS"
"UI_DEBUG","DEBUG"
"UI_CONFIGURE_SCENE_EFFECTS","CONFIGURE SCENE EFFECTS"
"UI_RETURN_MAIN_MENU","RETURN TO MAIN MENU"
"UI_SAVE_AND_EXIT","SAVE AND EXIT"
"UI_HANGAR_EXIT_WARNING","Progress will be saved before exiting."
"UI_INCURSION_EXIT_WARNING","Returning to the menu ends the current incursion without saving."
"UI_SECTOR_MAP_TITLE","SECTOR MAP"
"UI_SECTOR_MAP_PAUSE_SUBTITLE","Progress is preserved at the Hangar checkpoint."
"MENU_TAGLINE","Build • Fight • Loot • Extract"
"MENU_START_GAME","START GAME"
"MENU_CAMPAIGN_DEV","CAMPAIGN (DEV)"
"MENU_ENEMY_BUILDER_DEV","ENEMY BUILDER (DEV)"
"MENU_PHYSICS_SANDBOX_DEV","PHYSICS SANDBOX (DEV)"
"MENU_CREDITS","CREDITS"
"MENU_EXIT","EXIT"
"MENU_DEV_LOG","DEVELOPMENT LOG"
"MENU_DEV_STATUS","Level system, drag-and-drop Hangar and incursion map in progress. See DEV_NOTES.md for the full history."
"MENU_PROLOGUE_QUESTION","Play the prologue?\nRecommended to understand the game mechanics."
"MENU_PLAY_PROLOGUE","PLAY PROLOGUE"
"UI_SKIP","SKIP"
"SAVES_TITLE","SAVES"
"SAVES_ESC_BACK","ESC — back"
"SAVES_HEADER_SAVE","SAVE"
"SAVES_HEADER_DATE","DATE"
"SAVES_HEADER_PLAYED","PLAYED"
"SAVES_SLOT","Slot {slot}"
"SAVES_NEW_SLOT","NEW GAME — Slot {slot}"
"SAVES_DELETE_MESSAGE","Delete Slot {slot}?\nThis action cannot be undone."
"SAVES_DELETE","DELETE"
"MENU_HELP_TRANSLATE_BUTTON","HELP TRANSLATE"
"TRANSLATION_HELP_TITLE","COMMUNITY TRANSLATIONS"
"TRANSLATION_HELP_BODY","STARGRAVE is still in development. Some translations may be incomplete or inaccurate.\n\nYou can help correct existing text or add a new language. Download the community CSV template, fill in the translation column and submit it through the project form.\n\nEvery contribution is reviewed before being included in the game."
"TRANSLATION_HELP_FORM","OPEN CONTRIBUTION FORM"
"TRANSLATION_HELP_TEMPLATE","DOWNLOAD CSV TEMPLATE"
"TRANSLATION_HELP_COPY_LINK","COPY PROJECT LINK"
"TRANSLATION_HELP_LINK_COPIED","Project link copied."
"UI_CLOSE","CLOSE"
